Order_Id,Customer_Name,Customer_Id,Product_Name,Product_Cost
1023,Venki,15,27in FHD Monitor,59000
1024,Chaithanya,14,iPhone 11,69000
1025,Shahid,20,Bose SoundSport Headphones,65999
1026,Veeru,3,Apple iPad 10.2-inch,63999
1027,Venu,23,Google Phone,63999
1028,Daniel,6,Samsung Galaxy S9 Plus,63999
1029,Venu,23,iPhone 11,61000
1030,Shafi,25,27in FHD Monitor,63000
1031,Kedar,2,20in Monitor,55999
1032,Neelima,19,LG Washing Machine,63000
1033,Vijay,9,iPhone 7s,60000
1034,Tarun,11,Samsung Galaxy S20,69999
1035,Kedar,2,Google Phone,55999
1036,Chaithanya,14,LG ThinQ Refrigerator ,69999
1037,Nireekshan,1,Apple Airpods Headphones,55999
1038,Daniel,6,Samsung Galaxy S20,60000
1039,Karteek,4,Samsung Galaxy S9 Plus,60000
1040,Sumanth,22,iPhone 8,65999
1041,Venki,15,Samsung Galaxy S20,50000
1042,Mallikarjun,13,Google Phone,65999
1043,Vinay,10,Apple Airpods Headphones,61000
1044,Sumanth,22,Samsung Galaxy S20,65000
1045,Lavanya,16,iPhone 7s,51999
1046,Madhurima,7,Macbook Pro Laptop,50000
1047,Shafi,25,LG Washing Machine,63999
1048,Partha,8,Samsung Galaxy S9 Plus,75000
1049,Shahid,20,iPhone 11,65999
1050,Veeru,3,LG Mobile,51999
1051,Lavanya,16,LG Washing Machine,75000
1052,Siddhu,18,27in FHD Monitor,69999
1053,Chaithanya,14,iPhone 8,60000
1054,Venu,23,Apple iPad 10.2-inch,65999
1055,Siddhu,18,Google Phone,55999
1056,Karteek,4,20in Monitor,63000
1057,Tarun,11,iPhone 11,55999
1058,Jaya Chandra,21,iPhone 8,50000
1059,Sumanth,22,Google Phone,69999
1060,Daniel,6,Bose SoundSport Headphones,63000
1061,Shahid,20,Apple iPad 10.2-inch,63000
1062,Tarun,11,LG Washing Machine,61000
1063,Madhurima,7,ThinkPad Laptop,69999
1064,Siddhu,18,Apple Airpods Headphones,60000
1065,Madhurima,7,20in Monitor,75999
1066,Venki,15,20in Monitor,59000
1067,Shafi,25,Flatscreen TV,69000
1068,Vinay,10,Samsung Galaxy S9 Plus,75999
1069,Partha,8,Samsung Galaxy S20,65999
1070,Chaithanya,14,Apple Airpods Headphones,63999
1071,Venu,23,iPhone 11,65999
1072,Balaji,12,Macbook Pro Laptop,61000
1073,Neelima,19,LG Mobile,69999
1074,Sumanth,22,Apple iPad 10.2-inch,69999
1075,Veeru,3,Samsung Galaxy S20,65999
1076,Tarun,11,LG Washing Machine,75999
1077,Balaji,12,iPhone 11,69000
1078,Venki,15,iPhone 7s,50000
1079,Tarun,11,Macbook Pro Laptop,75000
1080,Shahid,20,27in FHD Monitor,50000
1081,Mallikarjun,13,Apple Airpods Headphones,75999
1082,Karteek,4,Apple Airpods Headphones,65000
1083,Tarun,11,Macbook Pro Laptop,65999
1084,Sumanth,22,Bose SoundSport Headphones,55000
1085,Tarun,11,Flatscreen TV,65000
1086,Balaji,12,LG Mobile,63999
1087,Neelima,19,Apple iPad 10.2-inch,50000
1088,Siddhu,18,LG Mobile,55999
1089,Shahid,20,Apple iPad 10.2-inch,69000
1090,Sumanth,22,Google Phone,69999
1091,Venu,23,Google Phone,60000
1092,Karteek,4,27in FHD Monitor,55999
1093,Nireekshan,1,20in Monitor,65000
1094,Shahid,20,34in Ultrawide Monitor,61000
1095,Lavanya,16,20in Monitor,51999
1096,Kedar,2,Google Phone,51999
1097,Pradhan,17,ThinkPad Laptop,63999
1098,Sumanth,22,iPhone 7s,63000
1099,Balaji,12,27in FHD Monitor,65999
1100,Balaji,12,ThinkPad Laptop,69999
1101,Kedar,2,iPhone 7s,69999
1102,Harsha,5,LG Washing Machine,75000
1103,Harsha,5,Samsung Galaxy S9 Plus,65999
1104,Mohan,24,ThinkPad Laptop,59000
1105,Partha,8,Bose SoundSport Headphones,65999
1106,Tarun,11,iPhone 8,75000
1107,Madhurima,7,ThinkPad Laptop,63999
1108,Vijay,9,Macbook Pro Laptop,59000
1109,Venu,23,iPhone 9,51999
1110,Daniel,6,iPhone 8,69999
1111,Kedar,2,Macbook Pro Laptop,65999
1112,Siddhu,18,LG Washing Machine,65999
1113,Veeru,3,LG Mobile,55000
1114,Mohan,24,27in FHD Monitor,65999
1115,Vinay,10,Google Phone,69000
1116,Siddhu,18,20in Monitor,65999
1117,Madhurima,7,Google Phone,50000
1118,Nireekshan,1,LG ThinQ Refrigerator ,69000
1119,Vinay,10,Samsung Galaxy S20,69000
1120,Jaya Chandra,21,iPhone 8,69999
1121,Kedar,2,iPhone 11,75999
1122,Madhurima,7,iPhone 11,63000
1123,Balaji,12,Google Phone,65999
1124,Jaya Chandra,21,LG Washing Machine,75999
1125,Vinay,10,27in FHD Monitor,69000
1126,Jaya Chandra,21,iPhone 8,63999
1127,Venu,23,iPhone 9,51999
1128,Sumanth,22,Samsung Galaxy S9 Plus,55000
1129,Karteek,4,27in 4K Gaming Monitor,63999
1130,Jaya Chandra,21,Flatscreen TV,75999
1131,Mallikarjun,13,Samsung Galaxy S20,69999
1132,Shafi,25,Macbook Pro Laptop,75999
1133,Jaya Chandra,21,Samsung Galaxy S20,65999
1134,Lavanya,16,LG Mobile,65999
1135,Venu,23,LG ThinQ Refrigerator ,55000
1136,Veeru,3,iPhone 8,55000
1137,Daniel,6,27in FHD Monitor,69000
1138,Nireekshan,1,Apple Airpods Headphones,63000
1139,Shafi,25,iPhone 9,55999
1140,Mallikarjun,13,iPhone 11,69000
1141,Harsha,5,34in Ultrawide Monitor,65000
1142,Tarun,11,27in FHD Monitor,50000
1143,Vijay,9,Samsung Galaxy S9 Plus,63000
1144,Vinay,10,iPhone 9,69999
1145,Siddhu,18,27in 4K Gaming Monitor,65999
1146,Venki,15,Google Phone,55999
1147,Daniel,6,34in Ultrawide Monitor,75000
1148,Partha,8,Samsung Galaxy S20,55999
1149,Veeru,3,Google Phone,59000
1150,Veeru,3,LG ThinQ Refrigerator ,61000
1151,Mohan,24,Samsung Galaxy S9 Plus,75000
1152,Shahid,20,Samsung Galaxy S9 Plus,75999
1153,Shafi,25,Apple iPad 10.2-inch,75999
1154,Nireekshan,1,27in 4K Gaming Monitor,65999
1155,Vijay,9,Macbook Pro Laptop,50000
1156,Chaithanya,14,Samsung Galaxy S20,55000
1157,Siddhu,18,LG Washing Machine,75000
1158,Madhurima,7,Samsung Galaxy S9 Plus,69999
1159,Neelima,19,34in Ultrawide Monitor,60000
1160,Shafi,25,iPhone 11,61000
1161,Pradhan,17,Flatscreen TV,65999
1162,Shafi,25,LG ThinQ Refrigerator ,69000
1163,Vijay,9,Bose SoundSport Headphones,75999
1164,Jaya Chandra,21,ThinkPad Laptop,63999
1165,Veeru,3,iPhone 11,69999
1166,Neelima,19,iPhone 11,60000
1167,Shafi,25,iPhone 9,59000
1168,Pradhan,17,Samsung Galaxy S20,61000
1169,Balaji,12,Flatscreen TV,63999
1170,Jaya Chandra,21,20in Monitor,55999
1171,Jaya Chandra,21,LG Mobile,75999
1172,Sumanth,22,LG Washing Machine,65000
1173,Vinay,10,Macbook Pro Laptop,75000
1174,Tarun,11,iPhone 8,65999
1175,Karteek,4,LG Washing Machine,63999
1176,Jaya Chandra,21,iPhone 9,55000
1177,Harsha,5,Apple iPad 10.2-inch,63999
1178,Mohan,24,Samsung Galaxy S20,60000
1179,Shafi,25,LG Washing Machine,50000
1180,Madhurima,7,iPhone 7s,63000
1181,Karteek,4,Apple Airpods Headphones,65000
1182,Harsha,5,20in Monitor,65000
1183,Tarun,11,iPhone 9,75999
1184,Mallikarjun,13,Apple Airpods Headphones,65999
1185,Vijay,9,20in Monitor,65999
1186,Nireekshan,1,Apple iPad 10.2-inch,50000
1187,Madhurima,7,Google Phone,60000
1188,Pradhan,17,iPhone 11,51999
1189,Madhurima,7,Apple iPad 10.2-inch,75999
1190,Madhurima,7,iPhone 8,75999
1191,Shahid,20,27in FHD Monitor,55999
1192,Lavanya,16,iPhone 7s,75000
1193,Balaji,12,ThinkPad Laptop,65000
1194,Vijay,9,Bose SoundSport Headphones,50000
1195,Venki,15,LG Mobile,60000
1196,Neelima,19,Bose SoundSport Headphones,65999
1197,Jaya Chandra,21,iPhone 8,55000
1198,Neelima,19,ThinkPad Laptop,65999
1199,Harsha,5,Bose SoundSport Headphones,65000
1200,Siddhu,18,Apple iPad 10.2-inch,65000
1201,Venki,15,LG Washing Machine,65000
1202,Vijay,9,LG Washing Machine,63999
1203,Sumanth,22,iPhone 11,59000
1204,Vijay,9,Apple Airpods Headphones,63000
1205,Sumanth,22,LG ThinQ Refrigerator ,63999
1206,Mallikarjun,13,Samsung Galaxy S20,59000
1207,Sumanth,22,iPhone 9,65999
1208,Madhurima,7,iPhone 7s,63000
1209,Harsha,5,LG Washing Machine,69999
1210,Madhurima,7,Samsung Galaxy S9 Plus,61000
1211,Partha,8,LG ThinQ Refrigerator ,69000
1212,Chaithanya,14,34in Ultrawide Monitor,61000
1213,Vijay,9,ThinkPad Laptop,65999
1214,Shahid,20,Samsung Galaxy S9 Plus,55999
1215,Veeru,3,Samsung Galaxy S9 Plus,63999
1216,Venu,23,LG Mobile,63000
1217,Venki,15,iPhone 7s,75999
1218,Veeru,3,iPhone 7s,63000
1219,Vijay,9,Apple Airpods Headphones,51999
1220,Nireekshan,1,Macbook Pro Laptop,55999
1221,Shahid,20,Apple Airpods Headphones,65000
1222,Sumanth,22,ThinkPad Laptop,59000
1223,Sumanth,22,ThinkPad Laptop,55999
1224,Partha,8,LG Washing Machine,63999
1225,Karteek,4,LG Washing Machine,50000
1226,Jaya Chandra,21,Apple Airpods Headphones,75000
1227,Chaithanya,14,20in Monitor,65999
1228,Kedar,2,iPhone 11,60000
1229,Balaji,12,Apple Airpods Headphones,60000
1230,Jaya Chandra,21,LG Mobile,60000
1231,Partha,8,Bose SoundSport Headphones,65999
1232,Madhurima,7,iPhone 7s,75000
1233,Shahid,20,LG Washing Machine,65999
1234,Jaya Chandra,21,Apple Airpods Headphones,65999
1235,Karteek,4,iPhone 8,65999
1236,Venu,23,LG Mobile,55999
1237,Neelima,19,Google Phone,51999
1238,Mohan,24,LG ThinQ Refrigerator ,61000
1239,Vijay,9,Apple Airpods Headphones,63999
1240,Nireekshan,1,LG ThinQ Refrigerator ,63000
1241,Jaya Chandra,21,Macbook Pro Laptop,55000
1242,Partha,8,Macbook Pro Laptop,55999
1243,Shafi,25,iPhone 7s,59000
1244,Karteek,4,34in Ultrawide Monitor,69999
1245,Veeru,3,ThinkPad Laptop,60000
1246,Shafi,25,LG Mobile,55000
1247,Chaithanya,14,ThinkPad Laptop,65999
1248,Mallikarjun,13,iPhone 9,59000
1249,Karteek,4,LG Mobile,51999
1250,Pradhan,17,Apple iPad 10.2-inch,75999
1251,Madhurima,7,Samsung Galaxy S20,60000
1252,Harsha,5,iPhone 9,61000
1253,Venu,23,Apple Airpods Headphones,60000
1254,Neelima,19,27in FHD Monitor,65999
1255,Shafi,25,iPhone 9,69000
1256,Siddhu,18,LG ThinQ Refrigerator ,65999
1257,Daniel,6,LG ThinQ Refrigerator ,55000
1258,Lavanya,16,20in Monitor,63999
1259,Harsha,5,20in Monitor,65000
1260,Veeru,3,Macbook Pro Laptop,65999
1261,Shafi,25,Google Phone,55999
1262,Daniel,6,Apple Airpods Headphones,59000
1263,Partha,8,iPhone 8,69999
1264,Daniel,6,Apple Airpods Headphones,75000
1265,Vijay,9,20in Monitor,69000
1266,Shafi,25,iPhone 7s,63000
1267,Pradhan,17,20in Monitor,69999
1268,Vijay,9,LG Washing Machine,61000
1269,Kedar,2,27in 4K Gaming Monitor,61000
1270,Shafi,25,Samsung Galaxy S20,69999
1271,Neelima,19,ThinkPad Laptop,65000
1272,Karteek,4,ThinkPad Laptop,75999
1273,Pradhan,17,Google Phone,55000
1274,Pradhan,17,ThinkPad Laptop,55000
1275,Pradhan,17,iPhone 8,60000
1276,Vijay,9,Apple iPad 10.2-inch,63999
1277,Veeru,3,Samsung Galaxy S9 Plus,51999
1278,Lavanya,16,LG Washing Machine,65999
1279,Vijay,9,LG Mobile,59000
1280,Chaithanya,14,iPhone 9,50000
1281,Jaya Chandra,21,Google Phone,55000
1282,Vijay,9,34in Ultrawide Monitor,63999
1283,Neelima,19,Apple iPad 10.2-inch,75999
1284,Harsha,5,27in FHD Monitor,55000
1285,Harsha,5,LG Washing Machine,50000
1286,Partha,8,Google Phone,55999
1287,Karteek,4,Macbook Pro Laptop,55000
1288,Nireekshan,1,Samsung Galaxy S20,63999
1289,Karteek,4,27in 4K Gaming Monitor,65000
1290,Shafi,25,20in Monitor,51999
1291,Sumanth,22,20in Monitor,75999
1292,Karteek,4,Samsung Galaxy S9 Plus,60000
1293,Balaji,12,Apple iPad 10.2-inch,63999
1294,Nireekshan,1,27in FHD Monitor,61000
1295,Shahid,20,34in Ultrawide Monitor,59000
1296,Jaya Chandra,21,Apple iPad 10.2-inch,55999
1297,Nireekshan,1,27in FHD Monitor,65999
1298,Veeru,3,iPhone 11,51999
1299,Daniel,6,ThinkPad Laptop,75999
1300,Veeru,3,20in Monitor,69999
1301,Nireekshan,1,Samsung Galaxy S9 Plus,75000
1302,Mohan,24,iPhone 9,65999
1303,Shafi,25,iPhone 9,50000
1304,Siddhu,18,Google Phone,75999
1305,Vijay,9,LG Mobile,75999
1306,Mallikarjun,13,Bose SoundSport Headphones,75000
1307,Chaithanya,14,iPhone 8,75999
1308,Balaji,12,LG Washing Machine,63000
1309,Vijay,9,iPhone 8,63000
1310,Tarun,11,iPhone 7s,61000
1311,Neelima,19,iPhone 9,65999
1312,Vinay,10,LG Mobile,65999
1313,Mallikarjun,13,Apple iPad 10.2-inch,65000
1314,Tarun,11,Apple iPad 10.2-inch,75999
1315,Balaji,12,LG Mobile,60000
1316,Jaya Chandra,21,20in Monitor,51999
1317,Veeru,3,Bose SoundSport Headphones,63999
1318,Venki,15,20in Monitor,59000
1319,Siddhu,18,iPhone 9,51999
1320,Venu,23,LG ThinQ Refrigerator ,55000
1321,Jaya Chandra,21,Bose SoundSport Headphones,63000
1322,Mallikarjun,13,Apple Airpods Headphones,69999
1323,Siddhu,18,Samsung Galaxy S9 Plus,55000
1324,Daniel,6,iPhone 8,55000
1325,Harsha,5,LG Mobile,50000
1326,Siddhu,18,iPhone 7s,69999
1327,Shafi,25,Apple iPad 10.2-inch,50000
1328,Mallikarjun,13,27in FHD Monitor,63999
1329,Lavanya,16,iPhone 11,63999
1330,Balaji,12,LG ThinQ Refrigerator ,55999
1331,Sumanth,22,Samsung Galaxy S20,65999
1332,Tarun,11,Flatscreen TV,55999
1333,Shafi,25,Macbook Pro Laptop,60000
1334,Balaji,12,iPhone 9,59000
1335,Balaji,12,Samsung Galaxy S9 Plus,60000
1336,Lavanya,16,iPhone 9,50000
1337,Mallikarjun,13,Apple iPad 10.2-inch,65999
1338,Mohan,24,20in Monitor,75999
1339,Veeru,3,Macbook Pro Laptop,75999
1340,Vinay,10,Samsung Galaxy S20,61000
1341,Balaji,12,27in 4K Gaming Monitor,59000
1342,Neelima,19,27in FHD Monitor,63999
1343,Pradhan,17,iPhone 11,75000
1344,Madhurima,7,Google Phone,65999
1345,Balaji,12,iPhone 9,65999
1346,Balaji,12,Macbook Pro Laptop,65999
1347,Jaya Chandra,21,Bose SoundSport Headphones,60000
1348,Sumanth,22,LG Mobile,59000
1349,Chaithanya,14,27in FHD Monitor,63000
1350,Mohan,24,27in 4K Gaming Monitor,63999
1351,Kedar,2,Samsung Galaxy S9 Plus,55000
1352,Tarun,11,27in FHD Monitor,63000
1353,Karteek,4,Samsung Galaxy S9 Plus,55000
1354,Venu,23,Flatscreen TV,55999
1355,Siddhu,18,Apple Airpods Headphones,50000
1356,Kedar,2,27in 4K Gaming Monitor,69999
1357,Balaji,12,27in FHD Monitor,75000
1358,Tarun,11,iPhone 9,51999
1359,Siddhu,18,iPhone 11,51999
1360,Chaithanya,14,iPhone 8,51999
1361,Shafi,25,27in FHD Monitor,63000
1362,Sumanth,22,Apple iPad 10.2-inch,65999
1363,Vijay,9,Bose SoundSport Headphones,65999
1364,Karteek,4,Samsung Galaxy S20,59000
1365,Venki,15,Apple iPad 10.2-inch,50000
1366,Shahid,20,Samsung Galaxy S20,75999
1367,Venki,15,iPhone 9,65999
1368,Mallikarjun,13,Google Phone,51999
1369,Mallikarjun,13,Samsung Galaxy S9 Plus,69999
1370,Vinay,10,iPhone 11,75999
1371,Kedar,2,Samsung Galaxy S9 Plus,75000
1372,Pradhan,17,27in 4K Gaming Monitor,65000
1373,Shahid,20,27in FHD Monitor,63999
1374,Kedar,2,27in FHD Monitor,75999
1375,Vijay,9,LG Washing Machine,59000
1376,Shahid,20,LG ThinQ Refrigerator ,75000
1377,Vijay,9,iPhone 8,75000
1378,Mohan,24,Apple iPad 10.2-inch,65000
1379,Partha,8,27in 4K Gaming Monitor,59000
1380,Jaya Chandra,21,Google Phone,69999
1381,Pradhan,17,ThinkPad Laptop,65000
1382,Mohan,24,20in Monitor,69000
1383,Pradhan,17,iPhone 8,63999
1384,Veeru,3,34in Ultrawide Monitor,65999
1385,Partha,8,Apple iPad 10.2-inch,63000
1386,Shafi,25,Macbook Pro Laptop,55000
1387,Lavanya,16,Samsung Galaxy S9 Plus,51999
1388,Nireekshan,1,iPhone 9,55999
1389,Venki,15,34in Ultrawide Monitor,65999
1390,Partha,8,iPhone 9,51999
1391,Tarun,11,Samsung Galaxy S20,69000
1392,Neelima,19,Samsung Galaxy S20,65999
1393,Jaya Chandra,21,Apple iPad 10.2-inch,75999
1394,Chaithanya,14,iPhone 7s,69999
1395,Jaya Chandra,21,LG Washing Machine,55000
1396,Tarun,11,Samsung Galaxy S9 Plus,59000
1397,Veeru,3,LG Mobile,55999
1398,Siddhu,18,iPhone 9,75999
1399,Shahid,20,iPhone 8,51999
1400,Lavanya,16,Macbook Pro Laptop,75999
1401,Mallikarjun,13,LG ThinQ Refrigerator ,75999
1402,Siddhu,18,iPhone 7s,75999
1403,Daniel,6,LG Washing Machine,75999
1404,Veeru,3,Samsung Galaxy S9 Plus,51999
1405,Partha,8,Google Phone,69000
1406,Nireekshan,1,iPhone 7s,69999
1407,Shahid,20,iPhone 9,63000
1408,Venki,15,Samsung Galaxy S20,51999
1409,Tarun,11,iPhone 9,50000
1410,Vijay,9,Bose SoundSport Headphones,65999
1411,Daniel,6,Google Phone,51999
1412,Balaji,12,LG Mobile,60000
1413,Nireekshan,1,Bose SoundSport Headphones,65999
1414,Lavanya,16,Samsung Galaxy S9 Plus,75000
1415,Vinay,10,27in 4K Gaming Monitor,63999
1416,Lavanya,16,iPhone 7s,65999
1417,Venu,23,Google Phone,69999
1418,Karteek,4,LG ThinQ Refrigerator ,50000
1419,Nireekshan,1,20in Monitor,55000
1420,Veeru,3,ThinkPad Laptop,55000
1421,Mallikarjun,13,Flatscreen TV,55000
1422,Shafi,25,iPhone 11,65000
1423,Partha,8,Samsung Galaxy S20,55000
1424,Karteek,4,Google Phone,63999
1425,Siddhu,18,Macbook Pro Laptop,50000
1426,Shafi,25,Macbook Pro Laptop,65000
1427,Karteek,4,Bose SoundSport Headphones,65000
1428,Kedar,2,iPhone 8,75000
1429,Balaji,12,iPhone 7s,75000
1430,Venki,15,LG Mobile,61000
1431,Madhurima,7,27in FHD Monitor,75999
1432,Venki,15,Samsung Galaxy S20,65999
1433,Vinay,10,Flatscreen TV,55999
1434,Shahid,20,Apple iPad 10.2-inch,65999
1435,Neelima,19,34in Ultrawide Monitor,50000
1436,Karteek,4,LG Mobile,60000
1437,Pradhan,17,20in Monitor,65999
1438,Madhurima,7,iPhone 8,61000
1439,Veeru,3,Google Phone,75000
1440,Shahid,20,Bose SoundSport Headphones,65999
1441,Balaji,12,LG ThinQ Refrigerator ,63999
1442,Jaya Chandra,21,iPhone 7s,59000
1443,Mohan,24,ThinkPad Laptop,65999
1444,Mohan,24,34in Ultrawide Monitor,69999
1445,Chaithanya,14,34in Ultrawide Monitor,51999
1446,Kedar,2,Bose SoundSport Headphones,60000
1447,Siddhu,18,27in FHD Monitor,65999
1448,Veeru,3,20in Monitor,65999
1449,Vijay,9,27in 4K Gaming Monitor,75000
1450,Pradhan,17,iPhone 9,55999
1451,Venki,15,iPhone 7s,65999
1452,Mallikarjun,13,Samsung Galaxy S20,75000
1453,Karteek,4,LG ThinQ Refrigerator ,75000
1454,Lavanya,16,20in Monitor,75000
1455,Venu,23,Google Phone,65000
1456,Kedar,2,Samsung Galaxy S20,75000
1457,Nireekshan,1,Samsung Galaxy S20,69000
1458,Vinay,10,Samsung Galaxy S20,65000
1459,Sumanth,22,Samsung Galaxy S20,65999
1460,Neelima,19,Apple iPad 10.2-inch,61000
1461,Harsha,5,Macbook Pro Laptop,65999
1462,Lavanya,16,20in Monitor,60000
1463,Mohan,24,Google Phone,63999
1464,Pradhan,17,iPhone 8,63000
1465,Balaji,12,Flatscreen TV,63999
1466,Venu,23,27in 4K Gaming Monitor,61000
1467,Vinay,10,iPhone 7s,51999
1468,Lavanya,16,iPhone 9,65999
1469,Pradhan,17,LG Mobile,51999
1470,Daniel,6,Apple Airpods Headphones,51999
